pole,eq_lon90,eq_lon135,eq_lon180
2.5002780000346e-06,1.49007726360854e-06,9.39454708142882e-07,5.92913124739678e-07
2.490275825923e-06,1.48978591947758e-06,9.38731768384977e-07,5.96075485019929e-07
2.4802736518114e-06,1.48949457534661e-06,9.38008828627072e-07,5.99237845300181e-07
2.4702714776998e-06,1.48920323121565e-06,9.37285888869167e-07,6.02400205580433e-07
2.4602693035882e-06,1.48891188708468e-06,9.36562949111262e-07,6.05562565860685e-07
2.4502671294766e-06,1.48862054295372e-06,9.35840009353357e-07,6.08724926140936e-07
2.440264955365e-06,1.48832919882275e-06,9.35117069595453e-07,6.11887286421188e-07
2.4302627812534e-06,1.48803785469179e-06,9.34394129837548e-07,6.1504964670144e-07
2.4202606071418e-06,1.48774651056082e-06,9.33671190079643e-07,6.18212006981691e-07
2.4102584330302e-06,1.48745516642986e-06,9.32948250321738e-07,6.21374367261943e-07
2.4009905991712e-06,1.48694125078028e-06,9.32199155030984e-07,6.2411281752478e-07
2.3917227653122e-06,1.4864273351307e-06,9.3145005974023e-07,6.26851267787616e-07
2.3824549314532e-06,1.48591341948112e-06,9.30700964449475e-07,6.29589718050453e-07
2.3731870975942e-06,1.48539950383154e-06,9.29951869158721e-07,6.3232816831329e-07
2.3639192637352e-06,1.48488558818196e-06,9.29202773867967e-07,6.35066618576127e-07
2.3546514298762e-06,1.48437167253238e-06,9.28453678577212e-07,6.37805068838963e-07
2.3453835960172e-06,1.4838577568828e-06,9.27704583286458e-07,6.405435191018e-07
2.3361157621582e-06,1.48334384123323e-06,9.26955487995704e-07,6.43281969364636e-07
2.32684792829921e-06,1.48282992558365e-06,9.26206392704949e-07,6.46020419627473e-07
2.31758009444021e-06,1.48231600993407e-06,9.25457297414195e-07,6.4875886989031e-07
2.30896218245185e-06,1.48156545859504e-06,9.24646801594005e-07,6.51068061247407e-07
2.30034427046349e-06,1.48081490725601e-06,9.23836305773815e-07,6.53377252604504e-07
2.29172635847513e-06,1.48006435591698e-06,9.23025809953624e-07,6.55686443961601e-07
2.28310844648677e-06,1.47931380457795e-06,9.22215314133434e-07,6.57995635318698e-07
2.27449053449841e-06,1.47856325323892e-06,9.21404818313244e-07,6.60304826675795e-07
2.26587262251005e-06,1.47781270189989e-06,9.20594322493054e-07,6.62614018032892e-07
2.25725471052169e-06,1.47706215056085e-06,9.19783826672864e-07,6.6492320938999e-07
2.24863679853333e-06,1.47631159922182e-06,9.18973330852673e-07,6.67232400747087e-07
2.24001888654497e-06,1.47556104788279e-06,9.18162835032483e-07,6.69541592104184e-07
2.23140097455661e-06,1.47481049654376e-06,9.17352339212293e-07,6.71850783461281e-07
2.22336026760298e-06,1.4738194337355e-06,9.16458486180711e-07,6.73737756399064e-07
2.21531956064935e-06,1.47282837092723e-06,9.15564633149129e-07,6.75624729336847e-07
2.20727885369572e-06,1.47183730811897e-06,9.14670780117546e-07,6.77511702274631e-07
